x,y,u
0.0,0.0,0.0
0.1,0.0,0.0
0.2,0.0,0.0
0.3,0.0,0.0
0.4,0.0,0.0
0.5,0.0,0.0
0.6,0.0,0.0
0.7,0.0,0.0
0.8,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
0.0,0.1,0.0
0.1,0.1,0.09378468363183987
0.2,0.1,0.17902095751849276
0.3,0.1,0.24702033087463077
0.4,0.1,0.2909728590814643
0.5,0.1,0.30649628489346215
0.6,0.1,0.2920177188549018
0.7,0.1,0.24890107550856205
0.8,0.1,0.18128703476712596
0.9,0.1,0.0956404378578906
1.0,0.1,0.0
0.0,0.2,0.0
0.1,0.2,0.17902095751849276
0.2,0.2,0.3412389160908339
0.3,0.2,0.4704365899663085
0.4,0.2,0.5537772899227057
0.5,0.2,0.5829905779363662
0.6,0.2,0.5551366862474116
0.7,0.2,0.4728619802556764
0.8,0.2,0.3441076117820893
0.9,0.2,0.18128703476712588
1.0,0.2,0.0
0.0,0.3,0.0
0.1,0.3,0.24702033087463068
0.2,0.3,0.4704365899663084
0.3,0.3,0.6481330947302253
0.4,0.3,0.7625604138201248
0.5,0.3,0.8024176912766553
0.6,0.3,0.7637287343382266
0.7,0.3,0.6502060029296227
0.8,0.3,0.4728619802556766
0.9,0.3,0.248901075508562
1.0,0.3,0.0
0.0,0.4,0.0
0.1,0.4,0.29097285908146425
0.2,0.4,0.5537772899227057
0.3,0.4,0.7625604138201251
0.4,0.4,0.8968000223339035
0.5,0.4,0.9432985702219853
0.6,0.4,0.8974604817091374
0.7,0.4,0.7637287343382265
0.8,0.4,0.5551366862474116
0.9,0.4,0.2920177188549018
1.0,0.4,0.0
0.0,0.5,0.0
0.1,0.5,0.30649628489346215
0.2,0.5,0.5829905779363661
0.3,0.5,0.8024176912766554
0.4,0.5,0.9432985702219853
0.5,0.5,0.9918428127663855
0.6,0.5,0.9432985702219847
0.7,0.5,0.8024176912766545
0.8,0.5,0.5829905779363656
0.9,0.5,0.3064962848934618
1.0,0.5,0.0
0.0,0.6,0.0
0.1,0.6,0.2920177188549018
0.2,0.6,0.5551366862474117
0.3,0.6,0.7637287343382265
0.4,0.6,0.8974604817091373
0.5,0.6,0.9432985702219845
0.6,0.6,0.8968000223339024
0.7,0.6,0.7625604138201239
0.8,0.6,0.5537772899227046
0.9,0.6,0.29097285908146375
1.0,0.6,0.0
0.0,0.7,0.0
0.1,0.7,0.24890107550856205
0.2,0.7,0.4728619802556766
0.3,0.7,0.6502060029296228
0.4,0.7,0.7637287343382263
0.5,0.7,0.8024176912766544
0.6,0.7,0.7625604138201239
0.7,0.7,0.6481330947302244
0.8,0.7,0.4704365899663076
0.9,0.7,0.2470203308746303
1.0,0.7,0.0
0.0,0.8,0.0
0.1,0.8,0.18128703476712602
0.2,0.8,0.34410761178208943
0.3,0.8,0.4728619802556765
0.4,0.8,0.5551366862474114
0.5,0.8,0.5829905779363656
0.6,0.8,0.5537772899227047
0.7,0.8,0.47043658996630766
0.8,0.8,0.34123891609083334
0.9,0.8,0.17902095751849242
1.0,0.8,0.0
0.0,0.9,0.0
0.1,0.9,0.09564043785789067
0.2,0.9,0.181287034767126
0.3,0.9,0.248901075508562
0.4,0.9,0.2920177188549017
0.5,0.9,0.3064962848934618
0.6,0.9,0.2909728590814638
0.7,0.9,0.24702033087463032
0.8,0.9,0.17902095751849242
0.9,0.9,0.09378468363183967
1.0,0.9,0.0
0.0,1.0,0.0
0.1,1.0,0.0
0.2,1.0,0.0
0.3,1.0,0.0
0.4,1.0,0.0
0.5,1.0,0.0
0.6,1.0,0.0
0.7,1.0,0.0
0.8,1.0,0.0
0.9,1.0,0.0
1.0,1.0,0.0
